Unidade da Federação;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez
11 Rondônia;4173529,95;4293085,61;4674947,02;5087527,81;4724192,54;4690112,05;4319488,17;4778472,22;4202805,84;4372265,77;4389025,81;4045339,34;4472721,53;4417486,2;4859795,35;4590008,82;4579463,54;4467858,99;4160296,03;4315005,38;4043314,46;4289759,65;4138600,85;3966744,3;4471693,32;4378412,9;5495946,92;5380890,26;5170015,34;4899586,21;5526959,19;5889685,39;6367552,03;6299844,72;6685861,76;6163036,06;6349302;6059111,35;6740436,14;6584249,21;7558087,91;6934864,98;7150611,14;6957882,67;7057715,9;7096778,4;6965306,56;6803544,72;6983698,79;6624059,46;7501596,28;7365022,91;7645734,88;7545619,91;7438604,96;7233618,24;7425981,15;7654315,58;7429006,24;7580768,75;7025175,6;6760305,81;7779822,21;7707892,66;8560529,9;8355165,66;7845709,98;7931146,33;7554941,74;7963674,01;6964512,59;7174445,57;7007236,18;7154710,19;8762491,6;8133488,55;8140639,49;8041248,8;8199032,67;8363386,07;7889819,5;8603943,85;8048398,25;8159737,49;8457455,71;7766983,2;8858845,57;8407076,44;9492938,92;8206195,92;9011612,58;9124967,84;8406732,72;8411360,02;8651081,66;8193425,99;8388269,45;8645315,78;9050329,13;9211262,51;9490545,02;8600886,2;8919190,86;8909111,89;8409386,09;8924348,41;8948605,66;8660753,05;8327665,97;8430960,97;7251287,2;7490440,6;8957706,45;10993332,84;10444525,14;11426522,76;8650051,23;7424388,6;6512472,15;3429070,34
12 Acre;2749521,65;2473515,82;2801446,23;2672803,31;3135521,3;2719044,65;2814550,89;2923529,36;2804546,95;2773202,98;2711168,25;2765187,44;2804275,11;2460383,33;3062146,31;2780466,09;2811471,16;2813012,39;2946976,72;2801590,13;3089898,24;3049071,15;2858028,89;2642140,91;2774802,96;2650391,04;2813059,49;2906257,88;2893275,56;2687861,43;2940387,36;2895941,14;2824796,19;3034232,68;2682370,65;2680655;2880570,12;2611479,72;3026117,7;3116433,45;3166557,72;3138759,74;3011898,65;3111431,36;2630560,39;3079894,04;3191663,93;2862824,95;3136522,53;2901829,7;3043474,78;3139472,52;3096430,52;3334482,41;2953212,26;3162075,03;3109856,27;3177087,64;3097868,79;3059992,59;3168190,91;3037922,8;3271599,56;3207893,15;3402393,7;3380644,97;3566107,55;3523208,57;3173932,43;2911080,18;3082652,71;3173509,52;3009727,19;3134471,01;3586781,3;2811365,43;3161446,53;3355223,35;3562691,54;3375296,64;3341497,58;3358378,05;3145385,44;2638773,92;2968168,75;2769797,39;3057631,96;2874965,31;3175575,17;3060903,21;3253011,61;3040645,05;2926179,27;3126120,64;2473454,85;2277493,49;2594347,32;2234388,36;2473008,49;2979764,77;3070533,95;3249052,69;3567538,64;2981072,98;2998860,31;3293378,97;3174249,43;2959569,09;3276790,55;2985439,26;2939675,2;2672857,33;2940827,86;3732098,58;4053085,41;3537283,63;3186517,29;2804839,14;2201264,05;1039798,08
13 Amazonas;9800511,52;9461664,54;10954545,77;10529645,04;10105494,01;9966359,03;9972847,16;9965893,92;9861030,02;10206641,46;10735915,35;8702766,18;10037664,68;8977728,1;11048686,39;10472290,4;11490377,42;10677441,18;11010010,57;10766405,24;9569712,9;9989822,59;9957925,62;8918794,96;10855590,98;9429474,72;10170130,9;10539428,15;11110036,76;10467110,16;10400642,04;10851212,49;10420922,29;10599000,25;10244521,6;9306819,97;9474986,9;8225118,03;9923980,1;10308887,72;10398106,16;10613208,66;10530622,36;10789449,65;11373085,93;11780494,51;11275532,44;10959544,5;12149857,06;11363981,9;13379237,72;13159168,82;12962255,41;13423538,07;13253844,31;13457422,49;12622284,09;13088040,45;11495628,09;11596671,58;11543911,29;11990242,08;13508906,38;13067645,44;13633627,87;13143225,36;12692419,45;12517962,68;11634453,4;12121775,2;10806653,19;11933902,28;12214148,15;11689140,72;13474719,8;13717831,75;13909566,03;13718828,46;14396210,86;13745304,22;13979792,94;13895515,9;13518116,8;13635186,02;14549450,86;12753555,36;14749409,47;14577930,81;15381061,96;14653650,77;15544595,79;16374961,41;15343340,93;16249963,61;14255408,82;14274053,94;15358914;14100074,56;16103971,89;16154491,82;16529976,06;15509984,83;16642220,71;16493719,52;15351607,47;16339427,95;14821977,5;14965815,9;15982212,38;15166027,16;14815958,58;16379386,07;19625325,21;18433057,47;19291184,75;18664262,4;18518035,54;17634793,5;13115540,22;5660135,46
14 Roraima;1604886,45;1220176,72;1276120,86;1379942,19;1679122,67;1770324,67;1646157,39;1656379,5;1802450,34;1856131,44;1655521,98;1620351,06;1605536,38;1625159,47;1768605,61;1589072,69;1982657,11;1782557,43;1743562,81;1822724,18;1637458,04;1374247,23;1613270,45;1586569,21;1712994,69;1483195,3;1783411,48;1713083,73;1724464,55;1965346,91;1835094,3;1816091,81;1741449,49;1779522,8;1698450,51;1739855,56;1649617,13;1444697,49;1828395,54;1743474,24;1939379,14;1778530,78;1839321,94;1818003,17;1890924,98;1792376,75;1929194,87;1927452,43;1952679,49;1650143,01;1806730,29;1967249,27;2002239,47;2200465,33;2230544,02;2285467,53;2215191,54;2005870,76;1937208,01;2000028,1;2306946,41;2000924,9;2333218,37;2069716,58;2105130,54;2390060,15;2324710,08;2476903,43;2212516,5;2349084,57;2184836,8;2380057,58;2370359,62;2256529,94;2602191,08;2392160,3;2761536,23;2699213,85;2682746,28;2891100,2;2737677,78;2693726,29;2671451,53;2688315,7;2740952,07;2478349,44;2674958,94;2721261,19;2844811,66;2967161,35;2841587,97;3328230,63;2878691,04;2964324,32;2524712,4;2462451,64;2662240,18;2499996,16;2846135,56;2789823,29;2839389,53;2647540,2;2865777,71;3181321,82;3070436,96;3162342,44;3121104,71;2889969,87;3084561,08;2967159,04;2813954,05;2306119,95;2921522,16;3300012,98;3192075,41;3262354,34;2973805,27;3209744,42;2888884,51;1735511,41
15 Pará;27999789,2;26170892,65;29193123,8;27294759,31;27759327,87;26458847,52;25646178,94;27348214,64;27122078,56;27151997,82;27076766,56;25935603,25;26931701,79;25389310,74;28704612,93;26847966,6;28536479,38;24989145,96;23915410,75;25339308,28;26463528,52;27078939,15;25649589,97;24231259,58;27488235,67;24858606,41;28385955,37;29935288,76;30031113,55;28287779,49;27834188,35;28495723,69;28476294,93;29356437,61;28086219,41;27125004,59;29767266,18;27835380,47;29163415,18;29555562,23;29906534,73;28163413,4;29162727,48;29042208,36;29657868,87;28900904,08;29550827,16;27962491,97;28691072,01;26549566,21;31911102,11;29750854,64;31054967,78;29235281,56;29501440,59;28931804,95;29476810,94;29458486,92;28477062,76;27489497,15;28500205,13;27179920,78;31117998,99;30192626,29;31099655,36;30920858,9;29971249,77;32160799,99;32271083,66;30090090,28;30190160,1;29399653,85;31598256,46;28219353,4;34021215,17;30540036,73;33921112,99;31808597,47;32133134,42;33770556,65;32979925,38;33665042,35;33475545,29;32067934,67;33615836,09;30623491,62;34121931;35039954,2;35424611,06;34160283,18;34484949,49;35618364,04;34380916,9;38441090,5;33583538,08;32789354,87;34513534,8;31885919,67;33236155,79;31008924,95;31064106,5;28543179,3;36713929,36;36462011,47;36792954,02;36984314,6;35579251,49;35247659,3;37045037,44;34682469,61;34908420,5;29184280,42;43327731,71;40981037,01;40465747,71;38645329,29;36425914,05;34769757,62;26725835,92;12584469,19
16 Amapá;1865892,98;1684178,33;1916700,22;1961976,04;1868835,95;1644399,84;1754611,59;1896266,48;1805783,3;1890071,25;1824489,66;1596201,03;1876466,36;1790176,91;1914026,23;1873009,95;2141271,36;1858153,83;2008511,81;2091388,06;1955058,92;2067357,5;1875480,25;1698096,96;1984150,33;1816966,55;2054213,74;2212994,19;2127151,29;2030072,9;2018989,22;2030265,74;1998378,04;2302382,78;1914523,39;1861538,38;2175830,82;1835760,6;2030063,08;2170445,98;1925149,16;1839113,66;1940056,21;1920353,35;1966897,86;2002560,03;1546358,63;1444087,11;1643867,04;1596872,07;1941475,46;1879849,54;1883885,3;2027129,41;2011512,1;2011212,92;2099809,71;1852746,03;1785754,7;1582904,81;1643327,69;1634178,49;1875981,8;1927461,31;1921705,65;2075852,44;1874227,86;1804640,32;1758596,38;1766504,15;1603000,31;1747780,08;1818874,15;1558585,21;2040910,24;1813477,93;2125677,11;2128578,23;1873120,82;1990850,21;1920807,56;1915176,64;1782927,17;1610779,22;1888216,67;1756846;1869746,5;2009211,4;2092229,29;2047927;2260210,72;2408659,24;2369223,52;2588154,29;2298458,18;2356798,88;2441325,03;2564176,12;2604263,92;2573615,74;2127851,77;2632890,52;2445874,82;2173060,89;2541342,33;2540183,86;2239443,36;2141400,83;2351019,41;2342718,63;2286375,9;1774558,12;2761503,37;2735248,12;2536642,73;2670837,67;2496929,8;2554353,26;1448075,77;597834,3
17 Tocantins;6941869,25;6599081,65;7413705,96;7052696,3;7347972,12;7195700,99;6692342,1;7354563,65;7001655,77;7163042,27;7387432,12;6918937,72;6911629,24;6861305,7;7962642,54;7569569,03;7873544,5;7029694,26;7309756,3;7533961,4;7065536;7253945,2;7059428,07;7126175,36;7149726,9;6867397,84;7930788,14;7843197,37;7985534,08;7339724,75;6973385,81;7282719,7;7583823,22;7602010,31;7166668,22;6801991,2;7145654,9;6692304,82;7216016,89;7593666,16;7938065,44;7453874,63;7666792,36;7671320,07;7647894,51;8198652,9;6957903,45;7091428,86;6509554,73;6150808,12;6987992,01;7089569,37;6797438,68;7054458,82;6576820,03;6777026,62;6354334,8;6409616,56;5793834,87;5471576,16;5984657,32;6135319,66;6578319,07;6829072,67;6692200,88;6685793,03;6349955,78;6364449,44;5802559,93;6095598,53;6143712,1;6300553,48;6198970,34;5949471,9;7390529,49;6196834,14;6542051,61;6590321,02;6148782,34;6485259,2;5585288;5603258,02;4713046,68;5506366,07;5632745,75;4710764,24;5120953,06;5347244,49;5955968,29;5484401,52;5445767,44;5514866,91;5486178,29;6041880,73;6217142,03;6269869,67;6462574,69;5785900,15;6588080,47;7235519,78;6957234,52;7127258,56;7117047,32;7140062,79;7119991,29;7587986,9;7594175,34;7573064,95;7227714,55;7343446,18;7027599,91;6261458,26;7390889,58;7871556,55;7934629,02;6488927,84;4229376,6;1853045,23;476687,76;318157,73
21 Maranhão;20558875,99;19977629,75;21051962,55;20427859,83;20394245,38;19651953,64;19996700,68;21580703,66;20245794,42;20333768,64;20641565,65;20042052,18;21667842,68;19843187,4;22311315,33;21936710,14;23865479,84;21477051,21;22217034,78;22983350,39;21299563,46;20978124,04;19399117,4;18634163,75;25206227,27;21445241,15;23985012,99;24523122,2;24949082,24;23923607,23;24260327,35;24690945,46;24827957,99;25952455,8;24020335,21;23174815,8;25507397,81;23801911,56;26335073,33;26008999,98;26222404,44;24688685,01;26226955,69;26179528,67;26066680,11;26207062,17;24976037,03;22979116,71;24789776,43;23003880,1;28115068,63;27547788,24;27857064,98;25355645,36;27145080,93;27057062,67;26101472,76;26479823,13;24295018,99;23481603,93;25312023,78;24756341,86;27033644,24;26503676,43;27619741,39;26541084,89;25989748,68;27770136,72;26269786,85;25348958,03;23766458,2;21545188,48;25926179,93;24702787,12;28691934,15;26096854,7;29029435,38;27321050,25;28484925,44;29352713,33;27276984,54;28743285,7;28083157,75;27083233,19;29426388,72;26350830,39;29901046,53;30897068,02;30281504,24;28453973,46;30806965,3;30838532,57;29976987,17;31001538,23;28237905,9;27802462,95;30160826,23;27614666,06;30322908,98;30475196,99;32603116,94;29836256,42;31285047,05;31374933,66;31617443,39;30205022,97;31081861,45;29882634,85;31639740,31;28875402,13;29401096,62;24555641,06;34826295,77;35888141,01;33979574,62;32620015,14;31294372,84;31609052,25;22481959,73;10744681,21
22 Piauí;14588897,24;12265757,09;13187651,73;12678417,26;12675205,11;12160076,86;11919067,3;12159124,51;12562834,87;12203495,51;12160989,36;11608735,33;12834140,49;11611101,59;12743982,18;12211230,16;13641916,12;12513374,69;13241101,64;13237685,63;12920892,43;13014911,78;12099537,09;11893570,28;13407770,12;12239523,08;13957685,19;15159216,27;14651845,08;14822072,98;14374218,21;14091252,29;13859943,48;14082278,8;13194957,82;12195808,15;14073144,03;13340653,42;14008839,63;13964766,06;14459727,73;13753793,88;14608648,02;14713607,19;14439476,37;14293771,07;13865890,04;13206900,08;13597811,08;12615331,21;14868279,77;14769906,42;14666785,68;14444499,68;14457752,47;14930169,52;14935364,43;14778012,73;14278653,98;13980063,87;14658724,11;14211959,72;15781590,9;15724013,35;16420434,62;16255227,09;15885221,21;16317458,71;15699225,71;15292962,1;14904386,72;14303401,01;15650158,5;14629028,08;16818930,13;15761679,42;16985528,31;15520246,72;15403020,27;15726662,86;15307387,92;15656346,1;15605461,66;15042889,08;15979472,64;13641357,11;16164249,27;16313578,41;17276287,23;16132887,17;16216685,5;16550617,02;15762154,38;16793302,69;15744012,68;15599219,88;16902421,18;15551984,49;16878130;16779468,57;18003271,66;17159273,87;17515580,04;17826456,87;17916788,9;19165561,07;17659145,47;16846903,02;17313368,84;16307626,74;15527356,72;12295504,8;15635621,12;18772428,2;25817440,95;22431918,38;19882848,28;17822190,91;14441283,96;7926748,48
23 Ceará;34637771,87;34649389,56;37658012,21;35683387,3;37260046,55;35867328,04;35178216,83;37364680,23;35239070,35;36947961,07;34802724,85;33077649,92;36096857,16;32142627,23;36331662,36;37735485,88;38662410,92;35663161,49;35934796,17;37311486,4;34850162,08;36964075,37;34416532,18;32662038,1;38349081,02;35710935,71;37814006,7;41827390,37;43072821,35;38194053,44;41101106,03;42525459,89;42492881,2;42082341,42;39804364;38788968,55;43406080,99;40370559,34;42995110,12;43491392,46;45375942,02;43578891,04;44455375,37;43554682,26;43024685,91;43552544,65;41205055,49;41340871,1;40993737,5;39541875,33;45207226,27;44159232,24;43104628,26;44518659,07;45132349,62;46763315,18;44132910;45894923,72;43000231,27;41558755,83;43547264,94;41106872,3;45692292,37;44061138,42;47702073,43;47592767,97;46220278,85;47949470,12;45273409,51;43507489,89;43769366,37;42224905,99;44446965,72;41017070,43;48433708,73;44438681,32;47759433,66;47753431,2;47806876,01;48455531,04;45911450,82;49168014;44744867,16;44448179,93;48586284,74;42120360,66;48637258,49;50805625,71;51998581,31;47406805,41;47916557,96;51376446,25;46560335,78;52222583,92;47717852,54;45190142,71;51302833,45;47498136,96;50654425,8;52330260,13;55377523,94;49993224,43;54340019,6;51672585,01;51744847,14;53947931,13;50215470,13;48450464,27;53141363,31;49229433,95;46713577,11;44951813,17;59148124,39;57169823,87;58097976,22;53897511,07;51143227,59;43871757,9;29584212,96;13727062,08
24 Rio Grande do Norte;12522642,88;13775683,96;14982413,99;13984615,76;15315458,31;14674974,35;14911686,35;15091857,51;14663466,45;14558218,98;14198700,51;12533586,82;13949180,34;13731504,7;15962249,68;14080386,19;15274938,97;14429864,61;16234309,86;15610018,6;12229527,01;14799892,01;14132316,71;12878494,94;14757798,33;13559506,12;15838411,28;17440024,33;16749166,81;15541512,94;16883489,54;16138547,88;16141234,37;16161575,67;14419514,6;14117580,31;14495972,22;15446589,32;15633163,65;16870824,64;18069279,41;16234491,93;17895994,39;16240425,94;16325617,03;17078314,28;16553639,98;15860056,93;15834842,78;14775174,9;18639547,97;17463935,46;18447969,86;17784444,68;19203746,35;18481204,49;18225975,9;18262817,06;16917374,24;16633661,52;17064397,41;16627822,82;18525680,92;18417267,01;19987992,72;18196569,43;17602492,23;16553293,83;13672287,29;19082523,58;16785522,38;17241589,89;17959290,06;16133020,48;19366269,16;18231365,97;20227425,64;18861445,44;18766514,59;20028976,78;18531262,6;18122577,13;18169461,87;18118258,43;19045469,42;18254034,58;20972187,31;20717428,9;21991859,64;20909808,17;21544864,14;22624357,12;19926336,21;22290820,67;20445273,59;19382682,35;21155435,82;20770925,83;21775213,78;22206576,63;23819430,58;21613567,61;22137456,57;23073542,4;23438983,02;23086206,33;20354752,02;20140235,98;22205064,78;20518138,12;20939897,73;17606152,13;20430287,05;23001397;28590370,83;25676919,55;24800576,09;23619386,01;18618811,03;7697901,17
25 Paraíba;14904674,54;15590841,64;16414896,76;15021955,87;15643875,48;14732756,29;14671783,1;15637264,11;15357483,01;14985747,96;14989777,07;14068499,89;14501136,33;13785885,74;15448692,92;14872014,3;16622176,07;14902687,51;16058493,4;16219030,77;15374794,25;15167361,07;15129019,84;14007534,73;15554180,01;14712501,85;16418244,41;17311199,77;17479563,89;15895477,08;17264598,47;16789359,35;16477933,3;16560385,14;15699585,32;15199279,48;16369238,36;15383648,93;16333987,44;16796025,57;17357243,08;16142066,65;17118592,15;16517254;16787470,59;16734999,73;16036226,51;14780287,8;15398908,01;13525690,18;16951131,59;16461415,63;16914062,06;15818047,96;17081327,83;17065636,08;16731591,7;16508433,64;15909632,89;14394254,06;15121711,53;14570163,45;16693664,87;16535102,66;17692117,48;15780382,27;16024548,41;16828350,47;16106168,52;15429911,33;15071576,09;14408708,77;15311153,84;14348726,45;18647794,67;16710328,48;18774680,27;17436389,33;17995202,52;19351701,53;18646289,97;18245810,01;17985557,31;16388322,31;17867994,89;16830284,57;18659840,18;18830153,6;19536787,89;18668772,93;19046877,99;19889056,91;18241046,36;18933043,43;18351401,88;17457775,07;18423397,03;18238305,93;19052084,6;19990029,87;20599108,73;18616883,33;20454302,42;19863848,57;19261402,57;20237438,6;18802035,57;17366011,06;18506459,8;17316019,15;17652174,26;15598593,72;19622514,77;22664489,93;22061857,21;19274404,95;17435282,9;16250450,03;13880792,13;8942541,5
26 Pernambuco;41176053,61;38040173,56;42147954,09;41313370,23;43514730,75;40563191,68;43391782,15;45724469,45;40912831,26;42857388,2;42493766,61;40128856,85;42631694,18;39879763,09;45788004,65;43584966,63;47977373,68;43138836,28;46771999,46;49237763,12;44628398,27;47324276,07;44686685,41;43153098,13;50678715,61;43691252,74;50725828,69;52208813,88;55804451,21;52198052,34;54418891,31;57414861,05;57179434,48;57834043,27;54208889,93;52431062,39;56405663,3;53767659,08;56937725,11;56492714,44;60739518,81;56866816,85;60949418,77;61868649,19;63477384,97;61101285,28;57319089,25;55917510,18;58472165,84;54027325,56;63945784,64;61041726,15;65442335,41;60373049,71;62155694,56;60783437,96;57258128,24;59955610,88;56503708,05;54455306,78;57724872,87;55583876,71;62032178,13;59119814,14;61889405,05;61422837,21;60625835,1;65008761,49;59733247,4;60492691,26;59513747,32;59421182,43;61735375,05;56325385,38;66847752,21;63614062,64;70066621;65931228,02;66686332,96;71413570,62;63959425,56;69163981,82;63161387,39;61493033,36;66784271,34;59286551,5;66010094,38;67848816,1;71209733,04;66926561,13;67763582,78;71992572,97;63777300,61;69174532,18;64612786,62;62068147,67;67615269,4;62461656,17;64965265,15;66103159,27;72912485,38;66622768,49;71320651,96;71735983,26;70933708,21;71465705,94;68442842,51;64863296,06;69640191,25;62561346,2;59667167,21;54336926,56;66347801,46;71178435,6;73453027,81;75110482,23;72152031,19;68271824,61;58090156,36;34517552,31
